patient_id,first_name,last_name,age,gender,dob,admission_date,discharge_date,diagnosis,blood_type,SSN
1,Gerhard,Anthiftle,103,Male,7/21/2006,4/21/2022,5/28/2022,Diabetes,B-,521-81-0431
2,Krishnah,Verring,108,Male,5/9/1908,5/28/2021,12/11/2021,Heart Disease,O-,259-11-9561
3,Evelin,Wilse,104,Agender,4/22/1910,10/1/2022,8/7/2022,Diabetes,A-,302-75-0064
4,Brendan,Kinsella,102,Male,10/26/1923,3/10/2021,9/3/2022,COVID-19,AB+,228-68-9606
5,Kareem,Manueli,99,Male,5/22/1902,1/20/2021,5/13/2021,Stroke,A-,219-75-5475
6,Hamlin,Goldfinch,52,Male,2/15/1910,11/10/2021,2/24/2022,Heart Disease,O-,411-72-3929
7,Sigfrid,Praten,26,Male,12/3/1927,2/20/2020,5/22/2021,Diabetes,AB-,324-17-5936
8,Caprice,Wyon,88,Female,10/19/1951,12/15/2020,3/29/2022,COVID-19,A+,220-46-4720
9,Luce,Summerfield,70,Female,3/9/1952,10/25/2022,3/15/2020,Heart Disease,B+,550-09-9302
10,Arline,Menlove,51,Female,9/14/1980,11/10/2022,3/31/2021,Cancer,B+,764-74-4427
11,Rolland,Lucy,75,Male,10/9/2015,4/20/2021,1/8/2020,Heart Disease,AB-,698-19-1566
12,Elfrieda,Stonhouse,114,Female,4/6/1908,4/9/2020,7/30/2021,Diabetes,B+,301-52-8227
13,Dieter,Denyakin,16,Male,8/30/1961,1/21/2022,1/3/2021,Stroke,B+,340-60-0407
14,Cate,Doutch,89,Female,9/5/2004,5/11/2022,4/5/2021,COVID-19,O-,261-70-2436
15,Dex,Hiseman,81,Male,12/23/1965,7/14/2021,7/21/2021,Cancer,O-,720-16-5442
16,Scot,Nerney,12,Male,2/26/1902,10/5/2022,4/28/2021,Cancer,AB-,738-98-7196
17,Carolynn,Barthelemy,55,Female,1/24/1949,7/15/2022,5/9/2022,Cancer,B+,823-56-7857
18,Moise,Kenington,120,Male,10/14/1956,1/11/2022,1/1/2020,COVID-19,A-,310-77-2845
19,Viki,Angear,51,Female,11/27/1975,4/25/2021,9/25/2022,COVID-19,A-,661-70-6165
20,Kinnie,Ahmad,55,Agender,6/14/1954,4/11/2021,3/5/2022,Cancer,AB+,138-43-3213
21,Justina,Skottle,30,Female,9/4/1954,4/4/2020,10/29/2020,Cancer,B+,738-93-6645
22,Aharon,Zaniolini,110,Male,3/4/2010,6/28/2022,7/26/2021,Diabetes,B-,493-12-0885
23,Tess,Leif,88,Female,9/3/1960,10/1/2020,12/14/2020,Heart Disease,B-,175-91-1833
24,Pyotr,Beadnell,50,Male,8/22/1929,12/16/2022,10/10/2022,Diabetes,AB-,404-05-5602
25,Shae,Hadland,20,Female,8/3/1995,7/20/2021,10/2/2022,Heart Disease,AB-,709-44-6102
26,Mylo,Clohisey,64,Male,10/26/2011,2/15/2022,9/27/2021,Heart Disease,O-,202-90-0013
27,Henri,Ioselev,34,Male,9/25/1991,5/29/2021,10/20/2021,Heart Disease,A-,148-42-5177
28,Chevalier,Mayer,21,Male,4/2/2020,12/27/2022,9/25/2021,Heart Disease,A+,208-03-8826
29,Chuck,Kirkham,46,Male,5/29/2011,5/1/2020,7/25/2022,Cancer,O-,687-94-7215
30,Rebekah,MacCheyne,10,Female,9/30/1995,10/26/2022,2/27/2020,Stroke,O+,883-53-9655
31,Iseabal,Cazin,49,Female,1/26/1973,11/20/2020,9/28/2020,Heart Disease,AB+,808-31-1200
32,Kaile,Grayling,52,Female,1/24/1970,4/6/2020,7/21/2020,Diabetes,O-,260-85-8208
33,Maureen,Gislebert,55,Female,2/17/1947,9/10/2021,6/14/2022,Stroke,B+,276-48-3585
34,Westbrook,Braithwaite,56,Male,1/6/1917,12/3/2021,7/6/2022,Cancer,AB-,421-79-8450
35,Lemuel,Clarricoates,120,Non-binary,1/19/1980,5/17/2022,11/16/2020,Cancer,A-,322-11-6135
36,Dougie,Graybeal,46,Male,8/5/1912,2/10/2022,2/11/2022,COVID-19,A-,763-22-4864
37,Catlaina,Trowell,92,Bigender,10/9/1916,2/3/2022,4/1/2022,Stroke,A+,296-84-3172
38,Kelcey,Rennicks,89,Female,5/16/2001,6/10/2021,2/17/2022,Stroke,A+,686-74-0776
39,Flemming,Ingreda,115,Male,6/6/1981,5/29/2021,5/5/2020,Cancer,O-,175-62-6813
40,Massimo,Gillott,36,Male,11/6/1907,2/8/2022,4/10/2021,Stroke,B-,387-79-0702
41,Baily,Savage,84,Male,5/3/1936,11/11/2020,11/14/2021,COVID-19,B-,741-15-2681
42,Malanie,Wagen,24,Female,5/18/1964,12/26/2021,7/10/2020,Stroke,A+,639-56-7037
43,Valentino,Warters,118,Male,2/13/1953,10/8/2022,4/13/2022,Cancer,O+,306-86-7549
44,Toma,Mavin,6,Female,4/5/1964,6/16/2021,7/27/2022,Diabetes,B-,800-26-9711
45,Matt,Agglione,63,Male,3/24/1972,5/16/2022,12/23/2021,Diabetes,O-,321-14-7902
46,Roldan,Peasegod,108,Male,6/16/1971,2/6/2021,11/28/2021,Stroke,B-,477-63-8213
47,Diena,Mee,43,Female,12/30/2005,8/13/2020,3/16/2020,COVID-19,O-,172-58-5171
48,Jakob,Conelly,6,Male,8/19/1908,5/17/2022,5/29/2020,COVID-19,A+,285-65-6176
49,Margalit,Hughlock,75,Female,4/9/2003,11/4/2021,3/26/2021,Stroke,B-,338-20-3275
50,Mollie,Gwynne,97,Female,7/17/2008,7/9/2022,11/19/2020,Heart Disease,O-,657-60-1399
51,Aurie,Grafham,28,Female,4/15/1939,12/23/2021,7/10/2022,Cancer,B-,174-63-2790
52,Kurt,Ferrarello,112,Genderfluid,7/11/1983,3/17/2022,4/28/2022,Stroke,A-,824-31-1733
53,Bebe,Quipp,17,Female,8/29/1912,3/13/2022,1/20/2022,COVID-19,AB+,217-16-7246
54,Halette,Ganley,101,Female,4/10/2009,1/24/2021,9/7/2021,Cancer,B+,123-20-7406
55,Reggie,Stubs,113,Male,8/27/1918,5/6/2020,8/5/2022,COVID-19,O-,426-15-9896
56,Sheelagh,Sharland,75,Female,7/30/1984,9/17/2021,4/4/2021,Cancer,A+,846-68-3790
57,Land,Klimt,23,Polygender,2/12/1911,9/11/2021,4/9/2020,Stroke,AB-,753-45-1559
58,Olympe,Piggrem,8,Female,5/12/1933,6/7/2022,5/2/2022,Diabetes,A+,802-19-0402
59,Anne,Robardley,2,Female,12/6/1922,6/8/2022,4/12/2020,Heart Disease,B-,718-25-8850
60,Giraud,Arnoult,57,Male,11/4/1941,3/1/2020,1/29/2021,Diabetes,O-,859-87-2980
61,Valerie,Abramsky,36,Female,12/8/1941,8/23/2022,12/21/2021,Heart Disease,B-,834-39-0186
62,Maris,Wallbridge,13,Female,4/4/1954,8/15/2021,3/26/2022,Diabetes,AB-,230-27-6611
63,Haydon,Wixon,55,Genderqueer,9/1/1988,11/6/2020,7/4/2020,Stroke,B-,383-84-6244
64,Fey,Wethered,9,Female,9/24/2003,10/20/2021,2/24/2021,Cancer,A-,766-52-7435
65,Falkner,Kynston,69,Male,6/1/1966,2/12/2022,6/6/2021,COVID-19,A+,497-86-5352
66,Rolfe,Gulc,26,Male,2/7/2019,8/18/2021,5/31/2021,Stroke,AB+,787-16-8837
67,Mady,McCallister,92,Female,5/26/1965,9/21/2022,1/6/2021,Heart Disease,A-,579-43-1777
68,Kristoffer,Dearness,62,Male,5/10/1962,2/22/2020,7/16/2020,COVID-19,AB+,336-32-2750
69,Gennifer,Verrell,57,Female,3/25/1931,1/4/2022,10/17/2021,Stroke,O-,383-82-4725
70,Gottfried,Diggins,28,Male,8/9/2014,5/1/2022,9/17/2021,COVID-19,AB-,842-09-0566
71,Katharine,Hefner,2,Female,9/27/1937,9/14/2022,11/9/2021,Diabetes,AB-,100-10-4363
72,Joline,Olenin,70,Female,4/9/1947,7/26/2022,8/10/2021,Heart Disease,O+,787-20-3416
